model,pred,segment,value,n,rmse,mae,mape,bias
xgb,prediction_calibrated,pre_tet_window,0,1400,833596.7649923003,609402.3683174696,0.2396855681242675,-78581.43039011396
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,pre_tet_window,0,1400,945143.3222615017,680548.2105232298,0.26764435272565257,-25035.560924362126
xgb_no_lag,prediction_calibrated,pre_tet_window,1,63,549222.0886730483,417185.66577157454,0.21490858225272727,29073.438295457105
xgb,prediction_calibrated,pre_tet_window,1,63,558527.3270906399,432263.80366828176,0.22125705725921968,-62899.5849618722
xgb_no_lag_residual_no_marketing,prediction_calibrated,pre_tet_window,1,63,562122.6076697203,403255.3694267996,0.19589814313628515,-85069.100279881
xgb_no_lag_residual,prediction_calibrated,pre_tet_window,1,63,569309.0162610202,409413.95452482573,0.20045752237687325,-86474.41042930346
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,pre_tet_window,1,63,607683.9412597398,460256.1576885306,0.230883978746549,27112.185846679746
xgb_no_lag,prediction_calibrated,promo_window_midyear,0,1125,762837.5914124036,541693.1796672111,0.23396529378227596,-63728.5407593305
xgb_no_lag_residual_no_marketing,prediction_calibrated,promo_window_midyear,0,1125,767698.6996795746,548551.0076823224,0.23719261090251348,-69142.38051445365
xgb_no_lag_residual,prediction_calibrated,promo_window_midyear,0,1125,767971.6853240379,551677.3677527237,0.23837497033521893,-75762.48905297136
xgb,prediction_calibrated,promo_window_midyear,0,1125,805862.1610075396,584801.9819225657,0.25459744136325124,-58497.90845542213
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,promo_window_midyear,0,1125,868401.1205831011,627797.6381589692,0.2775559720861875,2686.9728310880528
xgb_no_lag,prediction_calibrated,promo_window_midyear,1,338,851118.2490103033,650586.2661773103,0.18405964860106108,-130574.01782487726
xgb,prediction_calibrated,promo_window_midyear,1,338,880255.9265388906,658265.4012209253,0.18661795398712352,-142504.52481185677
xgb_no_lag_residual_no_marketing,prediction_calibrated,promo_window_midyear,1,338,914757.5174508443,650145.6462486909,0.17963328408411067,-66896.4529507219
xgb_no_lag_residual,prediction_calibrated,promo_window_midyear,1,338,921909.9266455334,646896.7667395317,0.17934334080532868,-54933.26430082724
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,promo_window_midyear,1,338,1121987.5058875068,815062.9873907069,0.22780270970409863,-107587.46159982316
xgb_no_lag,prediction_calibrated,promo_window_q4,0,1003,879843.0793701967,643560.3948067478,0.21241887857575018,-126400.24452420692
xgb_no_lag_residual_no_marketing,prediction_calibrated,promo_window_q4,0,1003,905140.619310183,654050.5663109807,0.2190616329060249,-78811.78217452027
xgb_no_lag_residual,prediction_calibrated,promo_window_q4,0,1003,908063.1532448451,655154.0684508117,0.2196731624308669,-79517.90659290504
xgb,prediction_calibrated,promo_window_q4,0,1003,913363.3746639206,673204.910051144,0.22329951831034006,-137355.6016258193
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,promo_window_q4,0,1003,1035703.7842629781,752277.7476428376,0.25094544651084977,-57058.080825261466
xgb_no_lag,prediction_calibrated,promo_window_q4,1,460,517231.53596425196,399591.1067442944,0.244276046784221,23806.127997226504
xgb_no_lag_residual,prediction_calibrated,promo_window_q4,1,460,518616.2637092869,396018.7287469823,0.23577762804600624,-52269.09392519269
xgb_no_lag_residual_no_marketing,prediction_calibrated,promo_window_q4,1,460,519460.7583334004,393166.0740538187,0.23443243365437857,-46408.612293609876
xgb,prediction_calibrated,promo_window_q4,1,460,581890.9690558421,446024.80542230816,0.272890376339205,51719.547895520096
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,promo_window_q4,1,460,656039.6816672358,493976.19952420256,0.29902065570992165,51929.42930863281
xgb_no_lag,prediction_calibrated,year_end_inventory_clearance_window,0,853,821075.5613918777,596530.6324018938,0.21295368340759055,-139336.89680991456
xgb_no_lag_residual_no_marketing,prediction_calibrated,year_end_inventory_clearance_window,0,853,839922.5097433785,587298.9440310436,0.20779784600883386,-126023.57782663548
xgb_no_lag_residual,prediction_calibrated,year_end_inventory_clearance_window,0,853,841963.4882412929,586996.4717165112,0.20786606144261138,-120913.99741381689
xgb,prediction_calibrated,year_end_inventory_clearance_window,0,853,859690.5232220207,629225.5168613922,0.22822669905724957,-161325.4740851882
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,year_end_inventory_clearance_window,0,853,969571.5017741001,682107.6127023156,0.24225972191101783,-95601.72697913884
xgb_no_lag,prediction_calibrated,year_end_inventory_clearance_window,1,610,729300.6948658726,525348.124024144,0.23569446686154816,4960.240327543924
xgb_no_lag_residual_no_marketing,prediction_calibrated,year_end_inventory_clearance_window,1,610,751062.3966230706,550660.8406822787,0.2464035649839703,11642.512639370005
xgb_no_lag_residual,prediction_calibrated,year_end_inventory_clearance_window,1,610,753224.1974992637,555049.4352550688,0.2483280990307785,-1082.9569250599588
xgb,prediction_calibrated,year_end_inventory_clearance_window,1,610,770421.6307123485,563387.8186767076,0.25380592735323193,38744.18523919352
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,year_end_inventory_clearance_window,1,610,879642.3602071923,655616.1295603674,0.2993446585030296,79027.14020891686
xgb_no_lag_residual,prediction_raw,actual_bucket,q1,293,408975.0585548077,308558.7827369296,0.2596104024960972,89641.67554970414
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q1,293,410242.0605145633,309887.23763958045,0.26080043675551573,89859.61423044512
xgb_no_lag,prediction_raw,actual_bucket,q1,293,437394.18930792925,320574.51180887374,0.27112685025001904,130147.96313993173
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q1,293,455301.8393560181,352144.8869510154,0.2891405356313661,-64798.942163907624
xgb,prediction_raw,actual_bucket,q1,293,523191.88222390536,397257.6494539249,0.3468256553230222,284116.6644709898
xgb_no_lag,prediction_raw,actual_bucket,q2,293,537904.4463885791,415601.7375426621,0.2208040692287106,-81081.7737883959
