model,pred,segment,value,n,rmse,mae,mape,bias
xgb,prediction_calibrated,horizon_bucket,91-120,90,629538.776119452,514311.80211936665,0.20401087427030937,19738.72013384468
xgb_no_lag,prediction_calibrated,horizon_bucket,91-120,90,642457.2241181724,497009.414028312,0.18878587549811027,39029.74908491123
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,horizon_bucket,91-120,90,737655.5074678232,576688.3528236413,0.23601318997690843,200939.64790239825
xgb_no_lag,prediction_calibrated,is_aug_odd,0,1401,786100.8912103612,566255.5593839325,0.21856050499858795,-96454.16435506567
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_aug_odd,0,1401,792138.5154378943,560965.2799723119,0.21481526335699833,-95848.72920014746
xgb_no_lag_residual,prediction_calibrated,is_aug_odd,0,1401,794034.6373856489,562761.6030432136,0.21568119703630015,-98062.08722627134
xgb,prediction_calibrated,is_aug_odd,0,1401,825706.5231655393,602964.1540569084,0.23581278659961685,-95485.45947388677
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_aug_odd,0,1401,923353.153628179,661163.6873184569,0.25781928817278893,-44953.31418787261
xgb_no_lag,prediction_calibrated,is_aug_odd,1,62,737857.600969598,580305.5870428056,0.3099975682128612,311349.32068373676
xgb,prediction_calibrated,is_aug_odd,1,62,775641.8721733406,574889.603900489,0.3084721928264859,319329.8761960952
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_aug_odd,1,62,1037671.538634961,821883.1424751816,0.42905731165487815,546578.8779564876
xgb_no_lag_residual,prediction_calibrated,is_aug_odd,1,62,1043083.4343547012,820308.709939254,0.4293634479268688,541689.3658989315
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_aug_odd,1,62,1131747.4302153836,894730.7537700183,0.4523058346269184,478030.25147489336
xgb_no_lag,prediction_calibrated,is_month_end,0,1415,771582.1814996732,557764.0717402138,0.22275990318491878,-74983.21450200927
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_month_end,0,1415,790109.6653730263,562544.0979539249,0.22434369216936545,-60019.974525536316
xgb_no_lag_residual,prediction_calibrated,is_month_end,0,1415,790422.664538142,562641.958809625,0.22500050632698224,-63312.62351428789
xgb,prediction_calibrated,is_month_end,0,1415,809973.0900844076,591857.4793087491,0.2389144528030658,-76468.36301732232
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_month_end,0,1415,905533.1225356818,652088.8630681073,0.26506187679089627,-7068.786128300144
xgb_no_lag,prediction_calibrated,is_month_end,1,48,1090723.5213540592,834725.4912737665,0.21287195261581235,-202653.70538983773
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_month_end,1,48,1141242.4151049228,851441.947288888,0.21065443471052048,-322248.2338014683
xgb,prediction_calibrated,is_month_end,1,48,1156234.933725905,894116.7094516484,0.23822998468681675,-120290.47352596694
xgb_no_lag_residual,prediction_calibrated,is_month_end,1,48,1179058.803605945,898953.6284199307,0.21696196597171893,-296101.69261573034
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_month_end,1,48,1538348.0125741237,1230372.7380318244,0.295525600371417,-486237.1919629464
xgb_no_lag,prediction_calibrated,is_tet_week,0,1418,784725.7574141674,565740.5087260962,0.22097685287930072,-76120.88737031387
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_tet_week,0,1418,803039.3185402179,570135.8973014124,0.2227830170791329,-61084.96245641351
xgb_no_lag_residual,prediction_calibrated,is_tet_week,0,1418,804601.4960547022,571501.3735966379,0.22345132250029862,-63988.54984997263
xgb,prediction_calibrated,is_tet_week,0,1418,824897.3277433128,601687.967829335,0.23823560798641405,-72208.40192053668
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,is_tet_week,0,1418,935331.4882697456,671550.8681631467,0.26508405078499575,-16907.66726417421
xgb_no_lag,prediction_calibrated,is_tet_week,1,45,764674.0326220156,601843.193776418,0.2683986522082371,-175315.73528778358
xgb,prediction_calibrated,is_tet_week,1,45,783212.407838025,604497.7087458213,0.2595755079237836,-257448.05500969978
xgb_no_lag_residual_no_marketing,prediction_calibrated,is_tet_week,1,45,835794.1702394346,631475.7711392771,0.2589204237232603,-306171.16473133356
xgb_no_lag_residual,prediction_calibrated,is_tet_week,1,45,853560.2437287098,642204.4026609674,0.265242566975532,-290321.7740224713
