feature,split_importance
aux_bounce_rate_month_mean,9
aux_page_views_week_mean,9
aux_page_views_roll30_730,9
aux_gross_sales_roll30_730,9
aux_payment_value_lag730,9
aux_sessions_year2,7
aux_payment_value_week_mean,7
aux_unique_customers_roll30_730,7
aux_active_promos_month_dow_mean,7
aux_avg_installments_month_mean,7
aux_social_media_share_month_mean,7
aux_avg_promo_discount_value_month_mean,6
aux_order_count_roll30_548,6
aux_payment_value_month_dow_mean,6
aux_gross_sales_doy_mean,6
aux_unique_customers_roll30_548,5
aux_paid_search_share_month_mean,5
aux_promo_item_share_lag730,5
aux_mobile_share_month_mean,5
aux_active_promos_roll30_730,5
aux_avg_session_duration_sec_month_mean,5
aux_ship_days_mean_month_mean,5
aux_units_roll30_548,5
aux_avg_discount_rate_month_mean,4
aux_mean_sell_through_rate_week_mean,4
aux_desktop_share_month_mean,4
aux_mean_sell_through_rate_lag548,4
aux_mean_days_of_supply_doy_mean,4
aux_avg_product_margin_rate_month_mean,4
aux_avg_unit_price_month_mean,4
aux_avg_promo_discount_value_week_mean,4
aux_region_share_central_month_mean,4
aux_overstock_ratio_week_mean,3
aux_avg_promo_discount_value_year2,3
aux_cod_share_month_mean,3
aux_mean_days_of_supply_week_mean,3
aux_payment_value_roll30_548,3
aux_gross_sales_lag730,3
aux_delivered_status_share_month_mean,3
aux_refund_per_order_month_mean,2
aux_gross_sales_month_dow_mean,2
aux_units_per_order_month_mean,2
aux_organic_search_share_month_mean,2
aux_gross_sales_week_mean,2
aux_active_promos_month_mean,2
aux_region_share_east_month_mean,2
aux_avg_promo_discount_value_lag548,2
aux_avg_promo_discount_value_doy_mean,2
aux_cat_share_genz_month_mean,2
aux_shipping_fee_month_mean,2
aux_order_count_month_mean,1
aux_payment_value_roll30_730,1
aux_mean_fill_rate_doy_mean,1
aux_cat_share_streetwear_month_mean,1
aux_return_qty_month_mean,1
aux_return_qty_per_order_month_mean,1
aux_cat_share_outdoor_month_mean,1
aux_stockout_ratio_doy_mean,1
aux_stockout_ratio_month_mean,1
aux_active_promos_doy_mean,1
